epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.411,0.80393,5.30817,2.77288,0.96909,0.00333,1,0.995,0.88683,0.00333,1,0.995,0.58275,0.41855,4.62252,2.97746,0.8165,0.00048,0.00048,0.00048
2,651.63,0.51066,0.50481,1.2672,0.86087,0.00333,1,0.6828,0.57168,0.00333,1,0.6828,0.58503,0.54982,2.16123,3.27338,0.84669,0.000960596,0.000960596,0.000960596
3,1518.55,0.51565,0.34493,1.0899,0.85977,1,0.99235,0.995,0.90032,1,0.99235,0.995,0.9654,0.47552,0.23686,2.46623,0.82407,0.00142139,0.00142139,0.00142139
4,1838.08,0.51145,0.28637,0.9756,0.86036,0.99862,1,0.995,0.88954,0.99862,1,0.995,0.97216,0.49153,0.18046,1.70605,0.81452,0.00186239,0.00186239,0.00186239
5,2156.66,0.51576,0.28035,0.89493,0.86905,0.99421,1,0.995,0.91343,0.99421,1,0.995,0.97777,0.43511,0.15286,1.79922,0.80591,0.0018416,0.0018416,0.0018416
6,2475.75,0.45678,0.23125,0.74317,0.86057,0.99885,1,0.995,0.93861,0.99885,1,0.995,0.98224,0.38652,0.207,0.90665,0.7917,0.001802,0.001802,0.001802
7,2823.85,0.43554,0.23913,0.65217,0.85524,0.99827,1,0.995,0.92471,0.99827,1,0.995,0.9516,0.3505,0.24828,0.88358,0.77689,0.0017624,0.0017624,0.0017624
8,3177.4,0.42112,0.22373,0.59064,0.85158,0.99888,1,0.995,0.96071,0.99888,1,0.995,0.97619,0.33213,0.10274,0.64093,0.78147,0.0017228,0.0017228,0.0017228
9,3530.19,0.41044,0.23777,0.55816,0.84747,0.99883,1,0.995,0.96621,0.99883,1,0.995,0.9779,0.30244,0.10386,0.62999,0.77693,0.0016832,0.0016832,0.0016832
10,3882.99,0.38767,0.25056,0.48708,0.83943,0.9989,1,0.995,0.93228,0.9989,1,0.995,0.97562,0.37109,0.10849,0.56612,0.78767,0.0016436,0.0016436,0.0016436
11,4235.98,0.385,0.26839,0.46982,0.84521,0.99891,1,0.995,0.96579,0.99891,1,0.995,0.97363,0.26941,0.10922,0.47347,0.77255,0.001604,0.001604,0.001604
12,4585.94,0.4011,0.22185,0.44572,0.83867,0.99762,1,0.995,0.9518,0.99762,1,0.995,0.98895,0.26755,0.09138,0.43574,0.77021,0.0015644,0.0015644,0.0015644
13,4937.04,0.36226,0.20972,0.43056,0.84269,0.99894,1,0.995,0.97607,0.99894,1,0.995,0.97825,0.22418,0.09825,0.3954,0.76358,0.0015248,0.0015248,0.0015248
14,5288.6,0.34652,0.22076,0.40784,0.82766,0.9989,1,0.995,0.97648,0.9989,1,0.995,0.9681,0.23157,0.1176,0.38005,0.76539,0.0014852,0.0014852,0.0014852
15,5683.69,0.33103,0.20848,0.37083,0.82603,0.99888,1,0.995,0.98703,0.99888,1,0.995,0.98014,0.24049,0.11177,0.34933,0.76401,0.0014456,0.0014456,0.0014456
16,6015.21,0.31394,0.19132,0.35788,0.82595,0.99896,1,0.995,0.995,0.99896,1,0.995,0.97767,0.20134,0.11259,0.31408,0.76075,0.001406,0.001406,0.001406
17,6346.2,0.3161,0.18585,0.34824,0.82381,0.99888,1,0.995,0.97628,0.99888,1,0.995,0.98315,0.22033,0.10328,0.32065,0.76161,0.0013664,0.0013664,0.0013664
18,6677.69,0.32157,0.18756,0.34823,0.83434,0.99893,1,0.995,0.9845,0.99893,1,0.995,0.9834,0.19085,0.11086,0.29308,0.75559,0.0013268,0.0013268,0.0013268
19,7007.75,0.29923,0.17856,0.32844,0.82615,0.99892,1,0.995,0.99221,0.99892,1,0.995,0.98312,0.18713,0.11233,0.26968,0.7553,0.0012872,0.0012872,0.0012872
20,7340.38,0.29841,0.1727,0.31832,0.82509,0.99894,1,0.995,0.99092,0.99894,1,0.995,0.97238,0.21032,0.12402,0.28514,0.76118,0.0012476,0.0012476,0.0012476
21,7671.06,0.30977,0.18576,0.31959,0.81721,0.99894,1,0.995,0.995,0.99894,1,0.995,0.98008,0.19115,0.10841,0.29644,0.75828,0.001208,0.001208,0.001208
22,8001.85,0.28416,0.16884,0.30237,0.81696,0.99895,1,0.995,0.995,0.99895,1,0.995,0.98059,0.19616,0.08679,0.26518,0.75555,0.0011684,0.0011684,0.0011684
23,8333.04,0.28346,0.16818,0.29558,0.81774,0.99893,1,0.995,0.995,0.99893,1,0.995,0.97853,0.20885,0.11625,0.25876,0.75364,0.0011288,0.0011288,0.0011288
24,8664.45,0.29248,0.21601,0.29962,0.82734,0.99895,1,0.995,0.99074,0.99895,1,0.995,0.97912,0.20448,0.19701,0.25169,0.7575,0.0010892,0.0010892,0.0010892
25,8994.92,0.28602,0.19678,0.28708,0.8232,0.99895,1,0.995,0.995,0.99895,1,0.995,0.99086,0.1904,0.12645,0.24509,0.7583,0.0010496,0.0010496,0.0010496
26,9324.18,0.26761,0.16385,0.28455,0.82467,0.99896,1,0.995,0.995,0.99896,1,0.995,0.98227,0.19044,0.13898,0.2427,0.75287,0.00101,0.00101,0.00101
27,9653.81,0.25087,0.17535,0.27571,0.80908,0.99898,1,0.995,0.995,0.99898,1,0.995,0.9834,0.1871,0.08649,0.2367,0.75627,0.0009704,0.0009704,0.0009704
28,9985.31,0.2544,0.16495,0.26786,0.82073,0.99898,1,0.995,0.99396,0.99898,1,0.995,0.98689,0.17443,0.10398,0.21859,0.75058,0.0009308,0.0009308,0.0009308
29,10317.6,0.24357,0.16093,0.26303,0.82487,0.99897,1,0.995,0.995,0.99897,1,0.995,0.98369,0.15035,0.10242,0.20191,0.74893,0.0008912,0.0008912,0.0008912
30,10648.9,0.25769,0.1731,0.26011,0.80852,0.99896,1,0.995,0.995,0.99896,1,0.995,0.98834,0.1467,0.12511,0.21231,0.74917,0.0008516,0.0008516,0.0008516
31,10981.4,0.25217,0.17839,0.25283,0.80963,0.99895,1,0.995,0.995,0.99895,1,0.995,0.98616,0.14686,0.14297,0.19532,0.75084,0.000812,0.000812,0.000812
32,11314,0.24788,0.16047,0.25023,0.81272,0.99897,1,0.995,0.995,0.99897,1,0.995,0.98911,0.14889,0.09709,0.19915,0.74925,0.0007724,0.0007724,0.0007724
33,11646.4,0.23421,0.15838,0.24439,0.80481,0.99896,1,0.995,0.995,0.99896,1,0.995,0.98122,0.12548,0.09963,0.18669,0.74488,0.0007328,0.0007328,0.0007328
34,11978.7,0.25574,0.17841,0.25274,0.81244,0.99895,1,0.995,0.995,0.99895,1,0.995,0.98936,0.15492,0.09763,0.18683,0.74617,0.0006932,0.0006932,0.0006932
35,12309.9,0.23777,0.14545,0.24014,0.81057,0.99895,1,0.995,0.99215,0.99895,1,0.995,0.97657,0.19224,0.12925,0.19802,0.75638,0.0006536,0.0006536,0.0006536
36,12642.7,0.23504,0.17173,0.23575,0.8153,0.99898,1,0.995,0.995,0.99898,1,0.995,0.98519,0.12934,0.10486,0.17688,0.74549,0.000614,0.000614,0.000614
37,12976.6,0.20639,0.15366,0.22688,0.80983,0.99896,1,0.995,0.995,0.99896,1,0.995,0.98963,0.12592,0.10541,0.18268,0.74574,0.0005744,0.0005744,0.0005744
